,5star
0,0.666666667
1,0.583333333
2,0.516666667
3,0.65
4,0.55
5,0.483333333
6,0.55
7,0.466666667
8,0.5
9,0.483333333
10,0.55
11,0.5
12,0.633333333
13,0.466666667
14,0.566666667
15,0.483333333
16,0.616666667
17,0.566666667
18,0.616666667
19,0.566666667
,0.616666667
