,5star
0,0.666666667
1,0.616666667
2,0.533333333
3,0.65
4,0.666666667
5,0.583333333
6,0.516666667
7,0.683333333
8,0.716666667
9,0.716666667
10,0.616666667
11,0.683333333
12,0.583333333
13,0.6
14,0.6
15,0.65
16,0.6
17,0.566666667
18,0.583333333
19,0.533333333
,0.6
