,word,frequency
0,the,886
1,and,487
2,i,433
3,to,404
4,was,379
5,a,268
6,it,198
7,not,197
8,we,153
9,they,152
10,were,137
11,for,134
12,this,132
13,that,124
14,is,123
15,in,122
16,of,121
17,have,115
18,but,102
19,food,101
20,would,88
21,be,87
22,place,82
23,if,81
24,my,80
25,so,77
26,had,73
27,service,68
28,you,67
29,order,66
30,with,66
31,on,63
32,time,61
33,will,60
34,get,57
35,she,56
36,good,53
37,told,52
38,rude,52
39,our,52
40,back,50
41,there,48
42,been,47
43,go,47
44,milk,44
45,out,44
46,at,43
47,no,43
48,could,42
49,worst,42
50,us,41
51,them,40
52,or,39
53,one,39
54,ordered,38
55,said,38
56,know,37
57,dont,36
58,server,35
59,are,34
60,very,34
61,me,33
62,sundae,33
63,give,32
64,customer,31
65,can,30
66,as,30
67,just,29
68,here,28
69,cream,28
70,going,28
71,ever,27
72,who,26
73,he,26
74,what,26
75,got,25
76,when,25
77,chicken,25
78,only,25
79,ok,25
80,like,24
81,manager,24
82,from,24
83,asked,24
84,long,24
85,cold,23
86,recommend,23
87,again,23
88,never,22
89,other,22
90,same,22
91,do,21
92,coming,21
93,all,20
94,restaurant,20
95,wait,20
96,after,19
97,menu,19
98,drive,19
99,owner,19
100,any,19
101,see,19
102,didnt,18
103,take,18
104,went,18
105,table,18
106,staff,18
107,experience,18
108,up,18
109,bland,18
110,frozen,18
111,drinks,18
112,an,17
113,also,17
114,has,17
115,over,17
116,cooked,17
117,bad,17
118,lids,17
119,then,16
120,wasnt,16
121,great,16
122,serving,15
123,want,15
124,wouldnt,15
125,horrible,15
126,even,15
127,her,15
128,brisket,15
129,extremely,15
130,try,14
131,given,14
132,terrible,14
133,your,14
134,store,14
135,left,14
136,still,14
137,about,14
138,ready,14
139,called,13
140,really,13
141,where,13
142,because,13
143,kitchen,13
144,friendly,13
145,uninterested,13
146,come,13
147,decided,13
148,correct,13
149,movie,13
150,mall,13
151,another,12
152,by,12
153,wrong,12
154,think,12
155,meat,12
156,took,12
157,being,12
158,ice,12
159,way,12
160,disappointed,12
161,wanted,12
162,sure,12
163,eat,12
164,new,12
165,put,12
166,tried,12
167,did,11
168,taco,11
169,fresh,11
170,busy,11
171,until,11
172,hot,11
173,side,11
174,some,11
175,am,11
176,husband,11
177,its,11
178,right,11
179,little,11
180,their,11
181,waste,11
182,pizza,11
183,reason,11
184,location,10
185,employee,10
186,may,10
187,coffee,10
188,getting,10
189,attitude,10
190,returning,10
191,waiting,10
192,line,10
193,money,10
194,enough,10
195,first,10
196,price,10
197,person,10
198,couldif,10
199,too,9
200,since,9
201,started,9
202,make,9
203,day,9
204,people,9
205,how,9
206,last,9
207,charged,9
208,minutes,9
209,fries,9
210,yelp,9
211,understand,8
212,someone,8
213,bell,8
214,working,8
215,his,8
216,problem,8
217,find,8
218,business,8
219,well,8
220,slow,8
221,many,8
222,around,8
223,before,8
224,awful,8
225,return,8
226,hands,8
227,ive,8
228,which,8
229,im,8
230,sandwich,8
231,always,8
232,more,8
233,came,8
234,cleaning,8
235,thru,8
236,next,8
237,bag,8
238,served,8
239,noodle,8
240,stars,7
241,chance,7
242,made,7
243,nothing,7
244,items,7
245,breakfast,7
246,let,7
247,few,7
248,doing,7
249,him,7
250,couldnt,7
251,chips,7
252,why,7
253,waited,7
254,meal,7
255,anyone,7
256,werent,7
257,help,7
258,hour,7
259,watching,7
260,delivered,6
261,done,6
262,finally,6
263,phone,6
264,flavor,6
265,job,6
266,ask,6
267,than,6
268,fix,6
269,closed,6
270,worth,6
271,times,6
272,cant,6
273,thats,6
274,girl,6
275,upset,6
276,waitress,6
277,cashier,6
278,hard,6
279,believe,6
280,big,6
281,available,6
282,employees,6
283,much,6
284,read,6
285,open,6
286,rest,6
287,5,6
288,better,6
289,counter,6
290,review,6
291,theres,6
292,waiters,6
293,quick,6
294,guess,5
295,gave,5
296,name,5
297,deliver,5
298,car,5
299,through,5
300,call,5
301,yuck,5
302,work,5
303,decent,5
304,speak,5
305,anything,5
306,now,5
307,replacement,5
308,options,5
309,sauce,5
310,visit,5
311,original,5
312,down,5
313,salad,5
314,idea,5
315,hours,5
316,burgers,5
317,change,5
318,walked,5
319,run,5
320,changed,5
321,handed,5
322,pick,5
323,tacos,5
324,area,5
325,onions,5
326,restaurants,5
327,fish,5
328,husbands,5
329,thought,4
330,doesnt,4
331,mind,4
332,taken,4
333,seated,4
334,quality,4
335,note,4
336,stop,4
337,selection,4
338,dog,4
339,family,4
340,guy,4
341,drink,4
342,sorry,4
343,hear,4
344,shop,4
345,three,4
346,regular,4
347,customers,4
348,arent,4
349,seen,4
350,pay,4
351,casino,4
352,keep,4
353,literally,4
354,house,4
355,soon,4
356,second,4
357,need,4
358,toasted,4
359,gone,4
360,honestly,4
361,say,4
362,behind,4
363,quinoa,4
364,eating,4
365,while,4
366,look,4
367,case,4
368,years,4
369,high,4
370,15,4
371,friend,4
372,town,4
373,bun,4
374,deal,4
375,into,4
376,looking,4
377,night,4
378,burrito,4
379,buffet,4
380,disappointment,4
381,mcdonalds,4
382,site,4
383,reviews,4
384,bbq,4
385,event,4
386,beef,4
387,prepared,4
388,kids,4
389,two,4
390,rather,4
391,bathroom,4
392,dinner,4
393,owners,4
394,barely,4
395,anymore,4
396,dishes,4
397,refill,4
398,rice,4
399,7,3
400,part,3
401,management,3
402,refund,3
403,worse,3
404,saying,3
405,best,3
406,thing,3
407,home,3
408,driver,3
409,talking,3
410,happy,3
411,use,3
412,extra,3
413,huge,3
414,weeks,3
415,jerk,3
416,most,3
417,waiter,3
418,making,3
419,attention,3
420,bit,3
421,wont,3
422,entrees,3
423,empty,3
424,offered,3
425,dry,3
426,past,3
427,touch,3
428,mean,3
429,helpful,3
430,either,3
431,forgot,3
432,does,3
433,figure,3
434,send,3
435,used,3
436,break,3
437,cafe,3
438,attempted,3
439,bacon,3
440,buy,3
441,expect,3
442,charge,3
443,cake,3
444,box,3
445,incompetent,3
446,impressed,3
447,saw,3
448,sign,3
449,myself,3
450,trying,3
451,half,3
452,found,3
453,disgusting,3
454,okay,3
455,able,3
456,having,3
457,isnt,3
458,nice,3
459,end,3
460,explained,3
461,bunch,3
462,both,3
463,today,3
464,everything,3
465,makes,3
466,off,3
467,else,3
468,treat,3
469,super,3
470,placed,3
471,readyi,3
472,young,3
473,negative,3
474,attempt,3
475,.,3
476,seat,3
477,refused,3
478,seemed,3
479,mess,3
480,againif,3
481,door,3
482,however,3
483,brunch,3
484,beer,3
485,disappointing,3
486,wish,3
487,tuna,3
488,maybe,3
489,favorite,3
490,mold,3
491,floor,3
492,avoid,3
493,washing,3
494,apple,3
495,party,3
496,jerky,3
497,slime,3
498,yes,2
499,busier,2
500,tell,2
501,ignored,2
502,specific,2
503,mood,2
504,allowed,2
505,returned,2
506,moved,2
507,fantastic,2
508,light,2
509,sick,2
510,friends,2
511,warm,2
512,tasted,2
513,selling,2
514,maker,2
515,similar,2
516,consistently,2
517,trucks,2
518,mediocre,2
519,such,2
520,stopped,2
521,mocha,2
522,delivery,2
523,lot,2
524,appetizers,2
525,received,2
526,sitting,2
527,stomach,2
528,supposed,2
529,year,2
530,entire,2
531,poorly,2
532,without,2
533,raw,2
534,total,2
535,needed,2
536,usually,2
537,says,2
538,computer,2
539,screen,2
540,old,2
541,third,2
542,30,2
543,support,2
544,numerous,2
545,murder,2
546,discrimination,2
547,man,2
548,fired,2
549,woman,2
550,walking,2
551,diner,2
552,almost,2
553,must,2
554,check,2
555,street,2
556,crime,2
557,paid,2
558,city,2
559,threw,2
560,those,2
561,tea,2
562,taste,2
563,fruit,2
564,carrot,2
565,something,2
566,againi,2
567,loved,2
568,felt,2
569,discount,2
570,complaining,2
571,complain,2
572,noisy,2
573,security,2
574,booking,2
575,error,2
576,posts,2
577,absolutely,2
578,2,2
579,least,2
580,days,2
581,dirty,2
582,joke,2
583,longer,2
584,evening,2
585,sweet,2
586,awhile,2
587,closest,2
