,word,frequency
0,the,600
1,and,443
2,a,368
3,i,234
4,to,218
5,was,213
6,is,203
7,of,155
8,very,131
9,it,105
10,for,105
11,good,104
12,food,91
13,in,86
14,we,80
15,they,74
16,were,69
17,have,68
18,that,66
19,great,65
20,but,64
21,not,57
22,you,55
23,with,55
24,friendly,54
25,be,52
26,my,51
27,had,51
28,this,49
29,are,48
30,place,48
31,on,45
32,staff,42
33,get,42
34,service,41
35,so,39
36,if,37
37,there,37
38,always,35
39,as,35
40,selection,32
41,will,32
42,back,30
43,too,29
44,fresh,28
45,really,28
46,nice,27
47,am,27
48,their,27
49,from,26
50,little,25
51,out,25
52,delicious,24
53,definitely,23
54,restaurant,23
55,chicken,23
56,ordered,23
57,would,23
58,at,22
59,time,22
60,fries,22
61,all,21
62,when,20
63,been,20
64,also,19
65,only,18
66,can,18
67,sure,18
68,bit,18
69,love,18
70,like,18
71,few,18
72,your,17
73,sweet,17
74,or,17
75,try,16
76,wasnt,16
77,go,16
78,pretty,16
79,here,16
80,long,15
81,menu,15
82,best,15
83,its,14
84,them,14
85,beer,14
86,items,14
87,other,14
88,server,14
89,burger,14
90,recommend,13
91,wait,13
92,think,13
93,our,13
94,side,13
95,do,13
96,some,13
97,helpful,13
98,more,13
99,large,13
100,come,12
101,surprised,12
102,meal,12
103,atmosphere,12
104,by,12
105,eat,11
106,youre,11
107,about,11
108,quite,11
109,day,11
110,ive,11
111,just,11
112,lot,11
113,big,11
114,which,11
115,greek,11
116,me,10
117,5,10
118,open,10
119,because,10
120,small,10
121,couple,10
122,sandwiches,10
123,first,10
124,quick,10
125,dont,10
126,choose,10
127,way,10
128,sandwich,10
129,has,10
130,husband,10
131,cooked,10
132,salad,10
133,much,9
134,went,9
135,didnt,9
136,beers,9
137,again,9
138,friends,9
139,experience,9
140,huge,9
141,town,9
142,bar,9
143,line,9
144,night,8
145,area,8
146,around,8
147,deal,8
148,new,8
149,one,8
150,dinner,8
151,regular,8
152,order,8
153,better,8
154,drinks,8
155,things,8
156,family,8
157,going,8
158,cheese,8
159,last,7
160,looking,7
161,still,7
162,tasty,7
163,price,7
164,happy,7
165,own,7
166,spot,7
167,friend,7
168,away,7
169,fried,7
170,group,7
171,people,7
172,work,7
173,an,7
174,what,7
175,amazing,7
176,years,7
177,location,7
178,excellent,7
179,find,7
180,variety,7
181,busy,7
182,super,7
183,make,7
184,outside,7
185,tender,7
186,thing,7
187,fan,7
188,into,7
189,over,7
190,now,7
191,table,7
192,grilled,7
193,doughnut,7
194,wish,7
195,clean,7
196,stars,6
197,enough,6
198,review,6
199,able,6
200,seafood,6
201,after,6
202,he,6
203,give,6
204,free,6
205,drink,6
206,local,6
207,accommodating,6
208,same,6
209,worth,6
210,werent,6
211,bring,6
212,even,6
213,home,6
214,beef,6
215,plum,6
216,meat,6
217,pricey,6
218,see,6
219,than,6
220,quality,6
221,lobster,6
222,theres,6
223,addition,5
224,vegetarian,5
225,door,5
226,easy,5
227,walk,5
228,coffee,5
229,before,5
230,know,5
231,many,5
232,did,5
233,right,5
234,well,5
235,options,5
236,check,5
237,waitress,5
238,car,5
239,fun,5
240,decided,5
241,who,5
242,up,5
243,light,5
244,snack,5
245,isnt,5
246,perfect,5
247,I,5
248,since,5
249,no,5
250,ambience,5
251,coming,5
252,us,5
253,two,5
254,sit,5
255,shrimp,5
256,disappointed,5
257,impressed,5
258,perfectly,5
259,beach,5
260,however,5
261,board,5
262,cute,4
263,owner,4
264,any,4
265,wouldnt,4
266,return,4
267,then,4
268,glad,4
269,im,4
270,while,4
271,ever,4
272,hard,4
273,real,4
274,reason,4
275,both,4
276,loved,4
277,high,4
278,parking,4
279,date,4
280,stop,4
281,stopped,4
282,hot,4
283,pleased,4
284,take,4
285,off,4
286,getting,4
287,.,4
288,portions,4
289,enjoyed,4
290,once,4
291,efficient,4
292,how,4
293,fact,4
294,pleasantly,4
295,space,4
296,mimosas,4
297,ocean,4
298,could,4
299,days,4
300,thought,4
301,told,4
302,brew,4
303,tacos,4
304,star,4
305,bun,4
306,bad,4
307,ice,4
308,cream,4
309,french,4
310,toast,4
311,tortilla,4
312,sauce,3
313,end,3
314,fast,3
315,trying,3
316,got,3
317,heard,3
318,brewpub,3
319,grab,3
320,relax,3
321,brewery,3
322,hands,3
323,came,3
324,available,3
325,places,3
326,case,3
327,need,3
328,lovely,3
329,feel,3
330,store,3
331,city,3
332,wide,3
333,flavors,3
334,later,3
335,look,3
336,man,3
337,chose,3
338,flavorful,3
339,street,3
340,continue,3
341,wines,3
342,pleasant,3
343,cant,3
344,say,3
345,must,3
346,burgers,3
347,satisfied,3
348,visited,3
349,week,3
350,prices,3
351,person,3
352,toppings,3
353,onion,3
354,inviting,3
355,carafe,3
356,ton,3
357,greeted,3
358,minutes,3
359,rice,3
360,potato,3
361,every,3
362,eating,3
363,basket,3
364,inside,3
365,house,3
366,doors,3
367,seating,3
368,sitting,3
369,favorite,3
370,finally,3
371,kind,3
372,expect,3
373,dry,3
374,never,3
375,down,3
376,visit,3
377,want,3
378,spicy,3
379,yet,3
380,interesting,3
381,awesome,3
382,cork,3
383,yogurt,3
384,anything,3
385,lunch,3
386,sunday,3
387,oysters,3
388,quesadilla,3
389,gave,2
390,lover,2
391,problem,2
392,3,2
393,medium,2
394,wanted,2
395,mall,2
396,fish,2
397,chips,2
398,course,2
399,starving,2
400,someone,2
401,moving,2
402,cup,2
403,realize,2
404,until,2
405,visits,2
406,during,2
407,waiting,2
408,servers,2
409,knowledgeable,2
410,liked,2
411,tap,2
412,attending,2
413,event,2
414,another,2
415,tried,2
416,snacks,2
417,decent,2
418,randomly,2
419,dog,2
420,sat,2
421,expensive,2
422,issue,2
423,times,2
424,plus,2
425,world,2
426,sister,2
427,wine,2
