,word,frequency
0,the,837
1,i,412
2,was,406
3,and,395
4,a,330
5,to,253
6,it,195
7,but,185
8,not,172
9,is,169
10,good,148
11,of,144
12,for,130
13,food,126
14,that,109
15,in,88
16,this,85
17,had,84
18,very,83
19,were,80
20,with,78
21,they,72
22,have,71
23,place,71
24,be,68
25,my,68
26,time,64
27,there,62
28,we,54
29,been,53
30,ive,53
31,here,48
32,would,47
33,chicken,47
34,if,46
35,at,46
36,just,46
37,service,44
38,as,44
39,great,43
40,too,38
41,better,35
42,are,34
43,get,34
44,so,34
45,back,34
46,will,32
47,you,32
48,pretty,32
49,me,31
50,wasnt,31
51,went,31
52,on,31
53,ordered,31
54,go,30
55,going,30
56,or,30
57,fries,29
58,first,27
59,about,26
60,dont,26
61,really,26
62,am,24
63,disappointed,24
64,bad,24
65,coffee,24
66,because,23
67,nice,23
68,only,23
69,one,22
70,cheese,22
71,more,21
72,like,21
73,bit,21
74,menu,20
75,experience,20
76,said,20
77,all,19
78,little,19
79,she,19
80,out,19
81,staff,19
82,meal,19
83,restaurant,19
84,when,18
85,way,18
86,same,18
87,other,18
88,what,18
89,order,17
90,could,17
91,some,17
92,know,17
93,wait,17
94,give,16
95,bread,16
96,impressed,15
97,busy,15
98,asked,15
99,than,15
100,got,15
101,their,15
102,again,15
103,which,15
104,do,15
105,sure,15
106,friendly,15
107,ok,14
108,quality,14
109,side,14
110,even,14
111,price,14
112,sandwich,14
113,thing,14
114,location,14
115,much,14
116,say,13
117,sauce,13
118,stall,13
119,lot,13
120,also,13
121,by,13
122,an,13
123,worst,13
124,drink,12
125,rude,12
126,times,12
127,quite,12
128,delicious,12
129,best,12
130,make,12
131,over,12
132,small,12
133,sweet,12
134,our,12
135,from,11
136,came,11
137,recommend,11
138,helpful,11
139,worth,11
140,he,11
141,else,11
142,people,10
143,returning,10
144,lunch,10
145,beer,10
146,before,10
147,few,10
148,minutes,10
149,who,10
150,eat,10
151,try,10
152,has,10
153,its,10
154,should,10
155,fresh,10
156,how,10
157,still,9
158,bar,9
159,told,9
160,after,9
161,atmosphere,9
162,decent,9
163,nothing,9
164,love,9
165,did,9
166,second,9
167,husband,9
168,two,9
169,cold,9
170,kind,9
171,coming,9
172,burger,9
173,wings,9
174,dry,9
175,beef,9
176,boba,9
177,city,9
178,rolls,9
179,youre,8
180,well,8
181,overpriced,8
182,no,8
183,always,8
184,waitress,8
185,want,8
186,meat,8
187,wrong,8
188,both,7
189,took,7
190,several,7
191,day,7
192,looking,7
193,high,7
194,hard,7
195,drinks,7
196,up,7
197,think,7
198,wouldnt,7
199,review,7
200,cake,7
201,special,7
202,another,7
203,never,7
204,down,7
205,excited,7
206,im,7
207,disappointing,7
208,burgers,7
209,soup,7
210,someone,7
211,least,7
212,taste,7
213,disappointment,7
214,served,7
215,last,7
216,store,7
217,something,7
218,ice,7
219,rest,6
220,hot,6
221,work,6
222,made,6
223,waited,6
224,selection,6
225,though,6
226,see,6
227,options,6
228,extra,6
229,past,6
230,ask,6
231,come,6
232,dinner,6
233,wanted,6
234,cup,6
235,reviews,6
236,different,6
237,any,6
238,call,6
239,thick,6
240,large,6
241,salad,6
242,new,6
243,used,6
244,cooked,6
245,eaten,6
246,warm,6
247,brisket,6
248,can,5
249,waiting,5
250,others,5
251,average,5
252,where,5
253,big,5
254,week,5
255,open,5
256,three,5
257,issue,5
258,wont,5
259,prices,5
260,friends,5
261,then,5
262,super,5
263,server,5
264,town,5
265,gone,5
266,left,5
267,local,5
268,places,5
269,couldnt,5
270,definitely,5
271,them,5
272,reason,5
273,many,5
274,customers,5
275,trying,5
276,now,5
277,customer,5
278,off,5
279,slow,5
280,part,5
281,werent,5
282,lamb,5
283,peanut,5
284,butter,5
285,cinnamon,5
286,chocolate,5
287,thinking,5
288,gotten,4
289,bbq,4
290,bartender,4
291,entrees,4
292,deal,4
293,stars,4
294,didnt,4
295,anything,4
296,probably,4
297,I,4
298,recently,4
299,looks,4
300,excellent,4
301,home,4
302,fan,4
303,long,4
304,polite,4
305,enough,4
306,breakfast,4
307,brought,4
308,shot,4
309,hope,4
310,dirty,4
311,thats,4
312,his,4
313,being,4
314,terrible,4
315,usually,4
316,preferred,4
317,fact,4
318,difference,4
319,serve,4
320,area,4
321,bland,4
322,pizza,4
323,tasted,4
324,horrible,4
325,live,4
326,free,4
327,portion,4
328,elsewhere,4
329,while,4
330,couple,4
331,found,4
332,wish,4
333,dressing,4
334,knowledgeable,4
335,burrito,4
336,ever,4
337,close,4
338,most,4
339,friend,4
340,cream,4
341,care,4
342,less,4
343,your,4
344,college,4
345,year,4
346,chips,4
347,tried,4
348,lack,4
349,later,4
350,game,4
351,experiences,4
352,isnt,4
353,keep,4
354,old,4
355,treats,4
356,him,4
357,hoping,3
358,point,3
359,enjoy,3
360,drive,3
361,thru,3
362,actual,3
363,things,3
364,whole,3
365,expecting,3
366,ago,3
367,walk,3
368,sooo,3
369,heard,3
370,number,3
371,ready,3
372,beans,3
373,pork,3
374,items,3
375,once,3
376,favorite,3
377,waiter,3
378,put,3
379,paying,3
380,party,3
381,theyre,3
382,quick,3
383,rice,3
384,night,3
385,45,3
386,burnt,3
387,completely,3
388,success,3
389,end,3
390,french,3
391,find,3
392,buffalo,3
393,okay,3
394,although,3
395,gross,3
396,2,3
397,potato,3
398,far,3
399,anyone,3
400,phone,3
401,market,3
402,hopefully,3
403,shrimp,3
404,grilled,3
405,doing,3
406,around,3
407,sell,3
408,clean,3
409,tomato,3
410,salty,3
411,longer,3
412,today,3
413,sesame,3
414,hand,3
415,maybe,3
416,mall,3
417,korean,3
418,tacos,3
419,encountered,3
420,roll,3
421,available,3
422,option,3
423,sub,3
424,since,3
425,ate,3
426,30,3
427,biggest,3
428,feel,3
429,apple,3
430,various,3
431,kinds,3
432,greasy,3
433,floor,3
434,airport,3
435,totally,3
436,figure,3
437,meatballs,3
438,frozen,3
439,smelled,3
440,twice,3
441,felt,3
442,ones,3
443,bag,3
444,manager,3
445,months,2
446,return,2
447,building,2
448,plenty,2
449,days,2
450,comes,2
451,below,2
452,tourist,2
453,pricey,2
454,instead,2
455,american,2
456,finally,2
457,outside,2
458,world,2
459,agree,2
460,wine,2
461,loved,2
462,tuesday,2
463,door,2
464,kitchen,2
465,feels,2
466,away,2
467,tend,2
468,hurry,2
469,admit,2
470,supposed,2
471,servers,2
472,easy,2
473,need,2
474,solid,2
475,ingredients,2
476,expect,2
477,mood,2
478,obviously,2
479,theres,2
480,total,2
481,waste,2
482,money,2
483,believe,2
484,family,2
485,crowded,2
486,fix,2
487,problem,2
488,complaints,2
489,girl,2
490,expected,2
491,plate,2
492,effort,2
493,fast,2
494,middle,2
495,morning,2
496,taco,2
497,dining,2
498,room,2
499,overall,2
500,",",2
501,having,2
502,grab,2
503,sorry,2
504,move,2
505,higher,2
506,meatloafers,2
507,cheesesteaks,2
508,often,2
509,either,2
510,weird,2
511,bun,2
512,lettuce,2
513,8,2
514,milk,2
515,concerned,2
516,wifi,2
517,spent,2
518,menus,2
519,needed,2
520,chains,2
521,south,2
522,samosas,2
523,checking,2
524,cheeseburger,2
525,issues,2
526,called,2
527,lobster,2
528,use,2
529,againi,2
530,ckcci,2
531,through,2
532,guess,2
533,larger,2
534,chance,2
535,fine,2
536,understand,2
537,alcoholic,2
538,beverage,2
539,willing,2
540,pay,2
541,25,2
542,prefer,2
543,lincoln,2
544,convenient,2
545,spoiled,2
546,everything,2
547,sit,2
548,amount,2
549,added,2
550,disgusting,2
551,stopped,2
552,liked,2
553,locations,2
554,seen,2
555,surprise,2
556,rip,2
557,month,2
558,sign,2
559,yes,2
560,tiny,2
561,bike,2
562,path,2
563,parking,2
564,tea,2
565,gift,2
566,mean,2
567,noodle,2
568,bacon,2
569,table,2
570,6,2
571,enjoyed,2
572,person,2
573,regular,2
574,inside,2
575,air,2
576,salsa,2
577,hey,2
578,bartenders,2
579,nasty,2
580,bowl,2
581,sweeter,2
582,vacation,2
583,cuz,2
584,comfortable,2
585,produce,2
586,why,2
587,decided,2
588,pie,2
589,odd,2
590,confused,2
591,third,2
592,every,2
593,toppings,2
594,write,2
595,seemed,2
596,hour,2
597,portions,2
598,underwhelmed,2
599,dishes,2
600,idea,2
601,greeted,2
602,arrived,2
603,thank,2
604,take,2
605,bakery,2
606,change,2
607,cant,2
608,expensive,2
609,20,2
610,panera,2
611,able,2
612,similar,2
613,extremely,2
614,dish,2
615,happy,2
616,gummy,2
617,marshmallow,2
618,pudding,2
619,item,2
620,size,2
621,smaller,2
622,conversation,2
623,groups,2
624,beefsteak,2
625,interesting,2
626,suggestion,2
627,yelp,2
628,pull,2
629,hair,2
630,skirt,2
631,life,2
632,grow,2
633,improve,2
634,poor,2
635,sushi,2
636,fluffy,2
637,visit,2
638,reading,2
639,priced,2
640,winter,2
641,prescription,2
642,n't,2
643,scallop,2
644,surprised,2
645,packed,2
646,chick,2
647,works,2
648,ill,2
649,getting,2
650,talking,2
651,bother,2
652,inn,2
653,meh,1
654,arrive,1
655,unfortunately,1
656,may,1
657,doubt,1
658,add,1
659,seasoning,1
660,treat,1
661,akin,1
662,trap,1
663,follow,1
664,wild,1
665,west,1
666,version,1
667,classic,1
668,opted,1
669,lemonade,1
670,boiled,1
671,falafel,1
672,wrap,1
673,queso,1
674,cocktail,1
675,her,1
676,pick,1
677,caramel,1
678,frappe,1
679,regent,1
680,bf,1
681,poorly,1
682,enjoyable,1
683,huge,1
684,3,1
685,positive,1
686,wines,1
687,cluttered,1
688,subpar,1
689,mcdonalds,1
690,closest,1
691,desserts,1
692,27,1
693,beers,1
694,email,1
695,prepared,1
696,sisters,1
697,brother,1
698,boyfriend,1
699,moved,1
700,chefs,1
701,pouring,1
702,fantastic,1
703,tucked,1
704,diners,1
705,sooooooo,1
706,fun,1
707,5,1
708,soooo,1
709,corn,1
710,buns,1
711,problems,1
712,dark,1
713,february,1
714,raves,1
715,opinion,1
716,dozen,1
717,pinto,1
718,pulled,1
719,excuse,1
720,those,1
721,reasonable,1
722,does,1
723,patio,1
724,hankering,1
725,romantic,1
726,miamier,1
727,seating,1
728,bites,1
729,port,1
730,warrant,1
731,common,1
732,luck,1
733,riski,1
734,highly,1
735,anticipated,1
736,appearance,1
737,chickfila,1
738,ruined,1
739,might,1
740,banade,1
741,breast,1
742,fare,1
743,hypei,1
744,addict,1
745,espresso,1
746,takeout,1
747,gets,1
748,empty,1
749,deli,1
750,update,1
751,changes,1
752,coworkers,1
753,del,1
754,group,1
755,barista,1
756,knows,1
757,bars,1
758,closing,1
759,negative,1
760,King,1
761,southwest,1
762,corner,1
763,rugs,1
764,carton,1
765,almost,1
766,mehi,1
767,aghast,1
768,truck,1
769,line,1
770,cheesesteak,1
771,medium,1
772,salt,1
773,meatloaf,1
774,received,1
775,filled,1
776,roast,1
777,edible,1
778,yourself,1
779,question,1
780,preorder,1
781,underwhelming,1
782,shame,1
783,slices,1
784,oz,1
785,mess,1
786,future,1
787,heheisnt,1
788,whether,1
