,word,frequency
0,good,78
1,great,68
2,place,46
3,food,44
4,like,39
5,love,34
6,get,34
7,really,33
8,also,33
9,one,30
10,go,30
11,delicious,30
12,order,28
13,pizza,28
14,time,27
15,would,25
16,service,24
17,cheese,23
18,back,22
19,ordered,20
20,nice,20
21,always,20
22,burger,20
23,dont,19
24,friendly,19
25,sandwich,18
26,staff,18
27,coffee,18
28,chicken,18
29,well,17
30,try,17
31,restaurant,16
32,fresh,16
33,best,16
34,wasnt,15
35,beer,15
36,ive,15
37,made,15
38,take,14
39,bit,14
40,never,14
41,5,14
42,im,14
43,sauce,14
44,pretty,14
45,area,13
46,tea,13
47,better,13
48,still,13
49,bread,13
50,salad,12
51,menu,12
52,little,12
53,usually,12
54,breakfast,12
55,flavor,12
56,sandwiches,11
57,much,11
58,options,11
59,happy,11
60,even,11
61,sweet,11
62,selection,11
63,flavors,11
64,definitely,11
65,around,11
66,many,10
67,next,10
68,things,10
69,quality,10
70,quite,10
71,quick,10
72,friends,10
73,lunch,10
74,cream,10
75,huge,10
76,day,10
77,didnt,10
78,say,10
79,got,10
80,two,10
81,long,10
82,way,10
83,tried,9
84,think,9
85,lot,9
86,worth,9
87,wait,9
88,give,9
89,since,9
90,new,9
91,seafood,9
92,seating,9
93,price,9
94,us,8
95,come,8
96,see,8
97,stars,8
98,toppings,8
99,tasty,8
100,favorite,8
101,location,8
102,though,8
103,minutes,8
104,fast,8
105,went,8
106,right,8
107,top,8
108,dinner,8
109,excellent,8
110,big,8
111,reason,8
112,fries,8
113,loved,8
114,burgers,8
115,first,8
116,hour,8
117,enough,8
118,lots,7
119,street,7
120,different,7
121,sushi,7
122,rice,7
123,want,7
124,items,7
125,people,7
126,found,7
127,chips,7
128,everything,7
129,spot,7
130,red,7
131,sure,7
132,came,7
133,ice,7
134,super,7
135,another,7
136,decided,7
137,wish,7
138,amazing,7
139,anything,7
140,recommend,7
141,line,7
142,times,7
143,eat,7
144,cold,7
145,extra,7
146,crust,7
147,something,6
148,house,6
149,totally,6
150,choices,6
151,roll,6
152,going,6
153,sometimes,6
154,cant,6
155,choose,6
156,instead,6
157,id,6
158,drink,6
159,perfect,6
160,clean,6
161,outside,6
162,egg,6
163,thing,6
164,home,6
165,put,6
166,prices,6
167,special,6
168,visit,6
169,sit,6
170,soup,6
171,night,6
172,review,6
173,taste,6
174,may,6
175,especially,6
176,crab,6
177,atmosphere,6
178,awesome,6
179,bagels,6
180,free,6
181,italian,6
182,cute,5
183,gave,5
184,beautiful,5
185,filling,5
186,liked,5
187,fun,5
188,wine,5
189,4,5
190,vibe,5
191,server,5
192,make,5
193,appetizer,5
194,perfectly,5
195,dishes,5
196,every,5
197,enjoy,5
198,half,5
199,know,5
200,years,5
201,full,5
202,pork,5
203,warm,5
204,parking,5
205,couple,5
206,cookie,5
207,cookies,5
208,actually,5
209,bun,5
210,bar,5
211,store,5
212,inside,5
213,must,5
214,drinks,5
215,bad,5
216,said,5
217,fan,5
218,stopped,5
219,corn,5
220,unique,5
221,last,5
222,walk,5
223,let,5
224,restaurants,5
225,expected,5
226,frozen,5
227,recent,5
228,find,5
229,starbucks,5
230,disappointed,5
231,drive,5
232,beach,5
233,tacos,5
234,bring,5
235,took,5
236,visiting,5
237,fair,5
238,pricey,5
239,grilled,5
240,refreshing,5
241,truffle,5
242,old,5
243,owner,4
244,3,4
245,although,4
246,size,4
247,dining,4
248,paper,4
249,choice,4
250,wonderful,4
251,husband,4
252,isnt,4
253,bubble,4
254,yesterday,4
255,local,4
256,vegetarian,4
257,else,4
258,sweets,4
259,feeling,4
260,2,4
261,extremely,4
262,leftovers,4
263,space,4
264,enjoyed,4
265,table,4
266,hard,4
267,tasted,4
268,thick,4
269,yum,4
270,deli,4
271,thats,4
272,tables,4
273,pancakes,4
274,fantastic,4
275,syrup,4
276,real,4
277,hot,4
278,late,4
279,helpful,4
280,style,4
281,pastry,4
282,name,4
283,prefer,4
284,theyre,4
285,group,4
286,nothing,4
287,whole,4
288,plate,4
289,decor,4
290,chocolate,4
291,mocha,4
292,white,4
293,nashville,4
294,25,4
295,side,4
296,beans,4
297,salsa,4
298,purchase,4
299,experience,4
300,could,4
301,places,4
302,told,4
303,several,4
304,reuben,4
305,lover,4
306,small,4
307,part,4
308,fancy,4
309,add,4
310,treat,4
311,bacon,4
312,meal,4
313,oil,4
314,offer,4
315,st,4
316,feel,4
317,however,4
318,shrimp,4
319,overall,4
320,days,3
321,today,3
322,eating,3
323,needed,3
324,added,3
325,salads,3
326,cheeses,3
327,96th,3
328,excited,3
329,decent,3
330,counter,3
331,select,3
332,vegetables,3
333,fact,3
334,sauces,3
335,low,3
336,healthy,3
337,vanilla,3
338,chai,3
339,friday,3
340,cooked,3
341,def,3
342,brewpub,3
343,variety,3
344,beers,3
345,bite,3
346,patio,3
347,fish,3
348,king,3
349,surprise,3
350,tastes,3
351,course,3
352,cake,3
353,finally,3
354,remember,3
355,looks,3
356,opened,3
357,garlic,3
358,dish,3
359,spice,3
360,level,3
361,generous,3
362,plus,3
363,establishment,3
364,serves,3
365,bench,3
366,chewy,3
367,used,3
368,section,3
369,kind,3
370,stop,3
371,ham,3
372,decide,3
373,decision,3
374,served,3
375,giving,3
376,soon,3
377,open,3
378,honest,3
379,baked,3
380,middle,3
381,fried,3
382,stuff,3
383,wanted,3
384,art,3
385,portion,3
386,steak,3
387,sunday,3
388,almost,3
389,highly,3
390,town,3
391,ask,3
392,cool,3
393,45,3
394,star,3
395,ate,3
396,sorbet,3
397,coming,3
398,shopping,3
399,split,3
400,tofu,3
401,check,3
402,flavorful,3
403,makes,3
404,salted,3
405,surprised,3
406,seems,3
407,please,3
408,chose,3
409,teas,3
410,thru,3
411,ordering,3
412,keep,3
413,hours,3
414,glad,3
415,forward,3
416,without,3
417,serve,3
418,based,3
419,impressed,3
420,app,3
421,comes,3
422,option,3
423,gone,3
424,ever,3
425,walked,3
426,yet,3
427,priced,3
428,shop,3
429,brew,3
430,zucchini,3
431,tip,3
432,milk,3
433,asked,3
434,hotel,3
435,yes,3
436,youre,3
437,wrong,3
438,seem,3
439,french,3
440,year,3
441,delivery,3
442,door,3
443,bbq,3
444,werent,3
445,spasso,3
446,suggestions,3
447,grab,3
448,high,3
449,mushrooms,3
450,need,3
451,10,3
452,20,3
453,looked,3
454,cashier,3
455,waited,3
456,ago,3
457,yogurt,3
458,village,3
459,getting,3
460,least,3
461,fruit,3
462,beef,3
463,breadsticks,3
464,waitress,3
465,guys,3
466,ok,3
467,sausage,3
468,wheat,3
469,ambience,3
470,interior,2
471,curds,2
472,w,2
473,onion,2
474,tomato,2
475,maybe,2
476,limited,2
477,draft,2
478,bowl,2
479,pick,2
480,tell,2
481,seemed,2
482,felt,2
483,standard,2
484,reviews,2
485,given,2
486,five,2
487,alternative,2
488,oh,2
489,yummy,2
490,mix,2
491,girls,2
492,working,2
493,groupon,2
494,nachos,2
495,crafted,2
496,slow,2
497,kid,2
498,environment,2
499,par,2
500,havent,2
501,orleans,2
502,arena,2
503,far,2
504,improved,2
505,include,2
506,bars,2
507,bottled,2
508,candy,2
509,kinds,2
510,feels,2
511,moving,2
512,fix,2
513,busy,2
514,second,2
515,kings,2
516,disappoint,2
517,spicy,2
518,szechuan,2
519,dan,2
520,shredded,2
521,portions,2
522,upstairs,2
523,byob,2
524,attending,2
525,classic,2
526,humid,2
527,cone,2
528,crazy,2
529,sampling,2
530,scoop,2
531,overly,2
532,polite,2
533,important,2
534,access,2
535,outlets,2
536,rest,2
537,lil,2
538,ave,2
539,behind,2
540,plastic,2
541,cups,2
542,likely,2
543,left,2
544,velvet,2
545,soft,2
546,randomly,2
547,mac,2
548,whatever,2
549,ambiance,2
550,expect,2
551,neat,2
552,cuban,2
553,upon,2
554,strip,2
555,mall,2
556,waiter,2
557,lovely,2
558,morning,2
559,nj,2
560,early,2
561,short,2
562,blueberry,2
563,couldnt,2
564,savory,2
565,rolls,2
566,hamburger,2
567,average,2
568,true,2
569,large,2
570,peppers,2
571,onions,2
572,potatoes,2
573,clearly,2
574,container,2
575,wouldnt,2
576,sort,2
577,attentive,2
578,diners,2
579,hope,2
580,perfection,2
581,bakery,2
582,nights,2
583,willing,2
584,lamb,2
585,snacks,2
586,wide,2
587,california,2
588,carry,2
589,hummus,2
590,greek,2
591,guac,2
592,twice,2
593,months,2
594,miles,2
595,number,2
596,drinker,2
597,fall,2
598,shake,2
599,honestly,2
600,week,2
601,located,2
602,community,2
603,floor,2
604,n,2
605,literally,2
606,ton,2
607,combinations,2
608,whats,2
609,equally,2
610,done,2
611,continue,2
612,cassis,2
613,started,2
614,known,2
615,sample,2
616,weve,2
617,tons,2
618,often,2
619,dry,2
620,relax,2
621,sides,2
622,rings,2
623,coleslaw,2
624,gives,2
625,believe,2
626,caramel,2
627,homemade,2
628,particular,2
629,iced,2
630,stuffed,2
631,certainly,2
632,plan,2
633,pass,2
634,clearwater,2
635,knew,2
636,familiar,2
637,hand,2
638,stumbled,2
639,snack,2
640,person,2
641,later,2
642,boyfriend,2
643,guacamole,2
644,mexican,2
645,complaint,2
646,unfortunately,2
647,crunchy,2
648,heavy,2
649,tortillas,2
650,type,2
651,world,2
652,forget,2
653,casual,2
654,reminds,2
655,chill,2
656,four,2
657,friend,2
658,scallops,2
659,prosciutto,2
660,portabella,2
661,lobster,2
662,someone,2
663,knowing,2
664,create,2
665,specials,2
666,theres,2
667,caffeine,2
668,forgot,2
669,sale,2
670,plenty,2
671,life,2
672,casino,2
673,away,2
674,typical,2
675,cafe,2
676,play,2
677,outdoor,2
678,easy,2
679,card,2
680,topped,2
681,man,2
682,neighborhood,2
683,trip,2
684,authentic,2
685,self,2
686,omelet,2
687,actual,2
688,deal,2
689,disappointing,2
690,yelp,2
691,expecting,2
692,die,2
693,hip,2
694,meltdown,2
695,montgomeryville,2
696,shops,2
697,able,2
698,start,2
699,dressing,2
700,item,2
701,recommended,2
702,nabruzzi,2
703,cupcake,2
704,benefit,2
705,fare,2
706,anywhere,2
707,santa,2
708,barbra,2
709,eggs,2
710,papaya,2
711,triple,2
712,sharing,2
713,inviting,2
714,main,2
715,coupon,2
716,visited,2
717,offerings,2
718,comfort,2
719,pleasant,2
720,rangoon,2
721,lemon,2
722,marsh,2
723,pulled,2
724,list,2
725,latte,2
726,modern,2
727,hyde,2
728,park,2
729,quiche,2
730,croque,2
731,return,2
732,singing,2
733,shame,2
734,1,2
735,knowledgeable,2
736,pearl,2
737,making,2
738,music,2
739,heard,2
