,word,frequency
0,the,837
1,and,403
2,was,312
3,a,306
4,i,263
5,good,203
6,to,200
7,is,198
8,of,146
9,barbara,144
10,but,132
11,it,113
12,for,107
13,food,102
14,that,102
15,at,97
16,were,93
17,we,90
18,not,88
19,service,83
20,with,65
21,very,64
22,go,58
23,you,57
24,in,57
25,great,56
26,had,53
27,are,52
28,place,50
29,have,50
30,on,45
31,or,43
32,my,41
33,as,41
34,this,41
35,bit,40
36,little,40
37,too,37
38,be,36
39,if,35
40,like,33
41,bar,33
42,fries,31
43,just,29
44,really,29
45,they,28
46,shop,28
47,best,27
48,because,27
49,least,27
50,pretty,25
51,chicken,24
52,so,24
53,friendly,24
54,once,24
55,ordered,23
56,coffee,23
57,would,22
58,its,22
59,one,22
60,our,22
61,menu,21
62,sweet,21
63,before,21
64,back,20
65,staff,20
66,sandwich,20
67,out,19
68,more,19
69,get,19
70,time,19
71,burger,19
72,price,18
73,can,18
74,your,18
75,could,18
76,restaurant,17
77,some,17
78,know,17
79,been,17
80,us,17
81,ok,17
82,will,17
83,also,16
84,shrimp,16
85,ive,16
86,here,16
87,side,16
88,all,16
89,meal,16
90,think,16
91,wasnt,16
92,about,15
93,long,15
94,drinks,15
95,nice,15
96,there,15
97,eat,14
98,beer,14
99,only,14
100,try,14
101,other,14
102,lunch,14
103,after,14
104,meat,13
105,pork,13
106,average,13
107,delicious,13
108,slow,13
109,he,13
110,cheese,13
111,decent,13
112,say,13
113,disappointed,12
114,atmosphere,12
115,me,12
116,dont,12
117,cream,12
118,always,11
119,their,11
120,much,11
121,waiter,11
122,first,11
123,wait,11
124,tasty,11
125,sauce,11
126,experience,11
127,when,11
128,love,11
129,area,10
130,looking,10
131,attentive,10
132,lot,10
133,her,10
134,okay,10
135,order,10
136,server,10
137,way,9
138,visit,9
139,well,9
140,she,9
141,then,9
142,high,9
143,.,9
144,by,9
145,large,9
146,never,9
147,selection,9
148,burgers,9
149,different,8
150,items,8
151,dish,8
152,definitely,8
153,do,8
154,few,8
155,want,8
156,prices,8
157,than,8
158,youre,8
159,went,8
160,asked,8
161,potato,8
162,pancakes,8
163,away,8
164,ones,8
165,still,8
166,which,8
167,make,8
168,overall,7
169,enjoy,7
170,star,7
171,something,7
172,pricey,7
173,friends,7
174,beef,7
175,clean,7
176,served,7
177,bread,7
178,waitress,7
179,did,7
180,location,7
181,restaurants,7
182,quality,7
183,thought,7
184,helpful,7
185,night,7
186,found,7
187,people,7
188,enough,7
